node1,node2,free_bw,used_bw,delay,pkloss
1,3,96390.859196,3608131.280399,1.98555,0.008288
1,7,96237.037924,3762962.075848,2.307177,0.008007
1,16,96126.016569,3872585.206805,1.026034,0.023868
2,4,96458.307385,3541451.218545,1.330495,0.0
2,7,96504.702595,3495051.377779,2.087951,0.0
2,12,99799.912158,200077.856465,2.710581,0.0
2,13,99942.695149,57296.273553,0.951409,0.0
2,18,24901.05011,98949.890198,9.17089,0.0
2,23,24999.808345,191.645456,2.717018,0.0
3,10,99780.940026,219059.974054,2.064705,0.0
3,11,24918.897984,81089.876562,2.08509,0.0
3,14,1539.102884,10891.14176,3.833294,0.0
3,21,96113.753118,3886233.842052,1.933813,0.0
4,16,96620.03992,3379871.224906,4.700303,0.0
5,8,24921.285557,78710.514693,4.419804,0.0
5,16,21783.621481,3216057.522806,0.945568,0.0
6,7,1448.680507,101309.382247,1.963735,0.0
6,19,1531.906378,18093.622118,2.001524,0.0
7,17,97676.479042,2323042.044068,1.685023,0.0
7,19,24994.993512,5006.237849,3.071308,0.0
7,21,96309.652695,3690304.929524,2.01118,0.048497
8,9,22703.096736,2296559.416656,1.995564,0.01316
9,15,24893.900369,106078.45517,0.909567,0.0
9,16,94024.877708,5974824.072784,1.114249,0.0
10,11,24904.619685,95366.038367,1.798987,0.0
10,12,99968.819243,31177.645021,2.337694,0.0
10,16,97434.473947,2565142.030644,0.994205,0.01183
10,17,97643.207664,2355837.828891,2.239227,0.0
12,22,99997.146222,2853.777822,5.982995,0.0
13,14,1549.637561,362.22213,1.004815,0.0
13,17,99943.714115,56277.460216,0.768304,0.0
13,19,24985.360615,14637.924297,0.969172,0.0
15,20,24872.348104,127645.526988,1.479983,0.0
17,20,99973.407326,26591.34694,0.90456,0.0
17,23,24997.201837,2798.023663,0.89097,0.0
18,21,24742.57217,257427.829906,1.432657,0.0
20,22,24893.69478,106299.91543,3.453374,0.0
