node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808038,191.961608,0.0,0.0
1,7,99999.808038,191.952012,0.0,0.0
1,16,99999.808038,191.952012,0.002027,0.0
2,4,99999.808058,191.942417,0.0,0.0
2,7,99999.808058,191.942417,0.0,0.0
2,12,99999.808058,191.942417,0.0,0.0
2,13,99999.808019,191.96161,0.0,0.0
2,18,24999.808058,191.942417,0.0,0.0
2,23,24999.808058,191.942417,0.0,0.0
3,10,99999.808038,191.961608,0.938058,0.0
3,11,24999.808038,191.952012,0.0,0.0
3,14,1549.808038,191.961608,0.0,0.0
3,21,99999.808058,191.942417,0.0,0.0
4,16,99999.808058,191.942417,0.388265,0.0
5,8,24999.808038,191.942419,0.0,0.0
5,16,24999.808058,191.942417,0.0,0.0
6,7,1549.808058,191.942417,0.0,0.0
6,19,1549.808038,191.952012,0.0,0.0
7,17,99999.808038,191.952012,0.0,0.0
7,19,24999.808058,191.942417,0.0,0.0
7,21,99999.856043,143.956813,0.0,0.0
8,9,24999.808038,191.952012,0.557899,0.0
9,15,24999.808058,191.942417,0.041127,0.0
9,16,99999.808058,191.942417,0.41914,0.0
10,11,24999.808019,191.96161,0.0,0.0
10,12,99999.808038,191.952012,0.54276,0.0
10,16,99999.808038,191.952012,0.843406,0.0
10,17,99999.808038,191.952012,0.170588,0.0
12,22,99999.808058,191.942417,0.0,0.0
13,14,1549.808019,191.971205,0.0,0.0
13,17,99999.808038,191.952012,0.0,0.0
13,19,24999.808019,191.96161,0.0,0.0
15,20,24999.808058,191.942417,0.0,0.0
17,20,99999.808058,191.942417,0.0,0.0
17,23,24999.808058,191.942417,0.0,0.0
18,21,24999.856043,143.956813,0.0,0.0
20,22,24999.808058,191.942417,0.0,0.0
